Resort name,Country,Highest point,Lowest point,Child friendly,Ski pass price adult,Season,Ski map,User rating
Courchevel (Les 3 Vallées),France,3.23,1.11,Yes,61,November - May,Ski map,
Corvatsch-​Furtschellas,Switzerland,3.303,1.797,Yes,69,November - May,Ski map,
Cortina d'Ampezzo,Italy,2.924,1.224,Yes,52,November - April,Ski map,
Copenhagen (planned),Denmark,0,0,Yes,0,no report,Ski map,
Civetta-Alleghe-​Selva di Cadore-​Palafavera-​Zoldo,Italy,2.1,1,Yes,43,December - April,Ski map,
Cimone-Montecreto-​Sestola-​Le Polle,Italy,1.976,900,Yes,35,November - April,Ski map,
Christlum-Achenkirch,Austria,1.8,950,Yes,44,December - April,Ski map,
Châtel (Les Portes du Soleil),France,2.466,1,Yes,51,December - April,Ski map,
Chamrousse,France,2.25,1.4,Yes,34,December - April,Ski map,
Champoluc (Monterosa Ski),Italy,3.275,1.212,Yes,43,December - April,Ski map,
Cervinia,Switzerland,3.899,1.562,Yes,81,Year-round,Ski map,
Cerler,Spain,2.621,1.505,Yes,42,December - April,Ski map,
Carezza Ski,Italy,2.337,1.2,Yes,41,December - April,Ski map,
Candanchú,Spain,2.236,1.514,Yes,41,December - April,Ski map,
Bürchen-​Törbel-Moosalp,Switzerland,2.55,1.48,Yes,39,December - March,Ski map,
Bukovel,Ukraine,1.372,890,Yes,32,November - May,Ski map,
Buchenberg-Buching-Halblech-,Germany,1.14,810,Yes,25,December - March,Ski map,
Brunni - Engelberg,Switzerland,2.04,1.05,Yes,38,December - April,Ski map,
Brigels-​Waltensburg-​Andiast,Switzerland,2.418,1.11,Yes,49,December - March,Ski map,
Brévent-​Flégère-Chamonix-,France,2.525,1.03,Yes,51,December - April,Ski map,
Brauneck Lenggries ​Wegscheid,Germany,1.712,700,Yes,35,December - April,Ski map,
Brandnertal-Brand-​Bürserberg,Austria,2,904,Yes,46,December - April,Ski map,
Borovets,Bulgaria,2.56,1.3,Yes,28,December - April,Ski map,
Bormio-Cima Bianca,Italy,3.012,1.225,Yes,40,November - April,Ski map,
Bonneval sur Arc,France,3,1.85,Yes,28,December - April,Ski map,
Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,Poland,910,680,Yes,23,December - April,Ski map,
Berwang-​Bichlbach-​Rinnen,Austria,1.743,1.067,Yes,42,December - April,Ski map,
Belvedere-​Col Rodella-​Ciampac-​Buffaure-Canazei-​Campitello-​Alba-​Pozza di Fassa,Italy,2.428,1.32,Yes,48,December - April,Ski map,
Bellwald,Switzerland,1.6,1.204,Yes,45,December - April,Ski map,
Belalp-Blatten,Switzerland,3.118,1.322,Yes,49,December - April,Ski map,
Bardonecchia,Italy,2.694,1.312,Yes,36,December - April,Ski map,
Baqueira / ​Beret,Spain,2.51,1.471,Yes,50,December - April,Ski map,
Bansko,Bulgaria,2.56,990,Yes,30,December - April,Ski map,
Balme-​Les Autannes-Vallorcine-​Le Tour,France,2.27,1.453,Yes,51,December - April,Ski map,
Bad Kleinkirchheim-​St. Oswald,Austria,2.055,1.087,Yes,47,December - April,Ski map,
Bad Gastein,Austria,2.3,860,Yes,52,November - April,Ski map,
Axamer Lizum,Austria,2.34,1.58,Yes,38,November - April,Ski map,
Ax les Thermes,France,1.4,720,Yes,37,December - April,Ski map,
Avoriaz (Les Portes du Soleil),France,2.466,1,Yes,51,December - April,Ski map,
Aussois,France,2.75,1.5,Yes,29,December - April,Ski map,
Auron-Saint-Etienne-de-Tinée-,France,1.6,1.15,Yes,34,December - April,Ski map,
Arosa Lenzerheide,Switzerland,2.865,1.229,Yes,63,October - April,Ski map,
Arêches-Beaufort-,France,2.3,1.05,Yes,29,December - April,Ski map,
Arcalís-Ordino (Vallnord),Andorra,2.625,1.94,Yes,37,November - April,Ski map,
Arabba,Italy,2.478,1.602,Yes,49,December - April,Ski map,
Aprica,Italy,2.27,1.162,Yes,38,November - May,Ski map,
Anzère,Switzerland,2.42,1.5,Yes,46,December - April,Ski map,
Alto Sangro-Roccaraso-​Rivisondoli,Italy,2.141,1.309,Yes,41,December - April,Ski map,
Alta Badia,Italy,2.55,1.324,Yes,52,December - April,Ski map,
Alpika Service,Southern Russia,2.228,535,Yes,0,December - April,Ski map,
Alpendorf (Ski amedé),Austria,1.98,740,Yes,52,November - April,Ski map,
Alpe Lusia-Moena-​Bellamonte,Italy,2.34,1.37,Yes,47,December - April,Ski map,
Alpe du Grand-Serre-La Morte,France,2.184,1.367,Yes,27,December - March,Ski map,
Alpe di Siusi-Seiser Alm-,Italy,1.669,1,Yes,54,December - April,Ski map,
Alpe d'Huez,France,3.33,1.125,Yes,51,December - April,Ski map,
Aletsch Arena-Riederalp-​Bettmeralp-​Fiesch Eggishorn,Switzerland,1.845,759,Yes,53,December - April,Ski map,
Albiez-Montrond,France,2.2,1.5,Yes,25,December - April,Ski map,
Aillons-Margériaz,France,1.785,1.37,Yes,19,no report,Ski map,
Aiguille du Midi-Chamonix-,France,3.842,1.035,Yes,60,December - April,Ski map,
Adelboden-​Lenk-Chuenisbärgli-​Silleren-​Hahnenmoos-​Metsch,Switzerland,1.26,1.072,Yes,55,December - April,Ski map,
Abetone-​Val di Luce,Italy,1.892,1.24,Yes,30,December - April,Ski map,
Veysonnaz (4 Vallées),Switzerland,3.33,821,Yes,66,December - April,Ski map,
