Resort name,Country,Highest point,Lowest point,Child friendly,Ski pass price adult,Season,Ski map,User rating
Sestriere ski resort (Via Lattea),Italy,2.749,1.372,Yes,48,November - April,Ski map,
Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2.8,1.2,Yes,49,December - April,Ski map,
Serfaus-Fiss-Ladis,Austria,2.82,1.2,Yes,49,December - April,Ski map,
Sedrun-Oberalp,Switzerland,2.3,1.5,Yes,53,November - April,Ski map,
Scuol-Motta Naluns,Switzerland,2.785,1.25,Yes,50,December - April,Ski map,
Schöneck-Skiwelt-,Germany,760,620,Yes,20,December - March,Ski map,
Schladming (4-Berge-Skischauke),Austria,2.015,745,Yes,52,depending on snow conditions - April,Ski map,
Schilthorn-Mürren-​Lauterbrunnen,Switzerland,2.97,796,Yes,55,December - April,Ski map,
Schetteregg-Egg,Austria,1.325,1.07,Yes,32,November - March,Ski map,
Savognin,Switzerland,2.713,1.2,Yes,50,December - April,Ski map,
Sauze d’Oulx (Via Lattea),Italy,2.749,1.372,Yes,48,November - April,Ski map,
San Martino di Castrozza,Italy,2.357,1.404,Yes,44,November - April,Ski map,
Sainte-Foy-Tarentaise,France,2.62,1.55,Yes,31,December - April,Ski map,
Saint-Lary-Soulan,France,1.6,812,Yes,42,December - April,Ski map,
Saint Martin de Belleville (Les 3 Vallées),France,3.23,1.11,Yes,61,November - May,Ski map,
Saint Luc-​Chandolin-Anniviers-,Switzerland,3.025,1.655,Yes,47,December - April,Ski map,
Saas-Fee,Switzerland,3.573,1.8,Yes,63,July - April,Ski map,
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria,2.096,830,Yes,53,November - April,Ski map,
Ruka,Finland,492,291,Yes,43,October - June,Ski map,
Rosshütte-Seefeld,Austria,2.064,1.23,Yes,44,December - April,Ski map,
Rossfeld - Berchtesgaden - Oberau,Germany,1.554,1.3,Yes,20,December - April,Ski map,
Rosa Khutor,Southern Russia,2.32,940,Yes,22,December - April,Ski map,
Riserva Bianca-Limone Piemonte,Italy,2.06,1.046,Yes,34,December - April,Ski map,
Rinerhorn (Davos Klosters),Switzerland,2.49,1.454,Yes,48,December - March,Ski map,
Rinderberg-​Saanerslochgrat-​Horneggli-Zweisimmen-​Saanenmöser-​Schönried-​St. Stephan,Switzerland,2.011,948,Yes,54,December - April,Ski map,
Rigi,Switzerland,1.315,439,Yes,44,no report,Ski map,
